GenreLink,Genre,NumberOfPeople
/work/shelves/96433,3-2-1-ebook,1
/work/shelves/96433,1-owned,1
/work/shelves/96433,english-oth,1
/work/shelves/96433,2021-plan,1
/work/shelves/96435,fizika,1
/work/shelves/96435,e-books,1
/work/shelves/96435,university-physics,1
/work/shelves/96429,vsi,11
/work/shelves/96429,very-short-introductions,9
/work/shelves/96429,buddhism,9
/work/shelves/96429,history,8
/work/shelves/96429,owned,5
/work/shelves/96429,eastern-philosophy,5
/work/shelves/208911,physics-summer-reading,1
/work/shelves/208911,6-dad-nonfiction,1
/work/shelves/208911,buy-kindle-version,1
/work/shelves/208911,collection,1
/work/shelves/208911,where-amazon,1
/work/shelves/208911,interested,1
/work/shelves/96431,on-my-bookshelf,2
/work/shelves/96431,list,2
/work/shelves/96431,history-politics,2
/work/shelves/96431,sociology,2
/work/shelves/96431,my-books,2
/work/shelves/96431,politics-and-economics,2
/work/shelves/96431,very-short,2
/work/shelves/2676767,mystery-detective,5
/work/shelves/2676767,audiobook,5
/work/shelves/2676767,library,4
/work/shelves/2676767,audio,4
/work/shelves/2676767,mystery-crime,4
/work/shelves/96433,challenge-very-short-introductions,1
/work/shelves/96433,book-recommendations-3,1
/work/shelves/96433,law-recs,1
/work/shelves/96433,ebooks-new,1
/work/shelves/96433,ab-series,1
/work/shelves/96433,distant-future-investments,1
/work/shelves/96435,stopped,1
/work/shelves/96435,science-selfstudy,1
/work/shelves/96435,science-and-technology,1
/work/shelves/96435,science-and-math,1
/work/shelves/96435,otheramazonbooks,1
/work/shelves/96435,other-books,1
/work/shelves/96429,very-short-introduction,4
/work/shelves/96429,asia,4
/work/shelves/96429,indian-philosophy,4
/work/shelves/208911,danny,1
/work/shelves/208911,2020-06-june,1
/work/shelves/208911,birthday-2020,1
/work/shelves/208911,own-print-copy,1
/work/shelves/208911,nf-other,1
/work/shelves/96431,vsi-series,2
/work/shelves/96431,political-theory,2
/work/shelves/96431,theory,2
/work/shelves/96431,science,2
/work/shelves/96431,to-buy,2
/work/shelves/96431,law,2
/work/shelves/2676767,african-american-authors,4
/work/shelves/2676767,crime-mystery,4
/work/shelves/2676767,2020,3
/work/shelves/2676767,2017,3
